# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = barebones_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = barebones.data.R
# init = 2 (Default)
# random
#   seed = 901527629
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,icpt,slope,sigma
# Adaptation terminated
# Step size = 0.229652
# Diagonal elements of inverse mass matrix:
# 0.360458, 0.0194784, 0.139412
1.28655,0.990297,0.229652,4,15,0,-0.537521,1.40836,0.695051
0.573751,0.988543,0.229652,3,7,0,-0.586119,1.40681,0.813602
2.21681,0.981105,0.229652,4,11,0,-0.47679,1.38559,0.546405
2.23547,1,0.229652,2,3,0,-0.466515,1.3869,0.543189
1.63517,0.974074,0.229652,4,15,0,-0.298478,1.32704,0.612766
-0.126288,0.688174,0.229652,4,15,0,-0.392414,1.4078,0.917427
2.07912,0.835497,0.229652,4,9,0,-0.256981,1.32077,0.525056
1.94581,0.9669,0.229652,2,3,0,-0.0577327,1.31294,0.500141
1.90365,0.934301,0.229652,3,7,0,-0.213787,1.31566,0.557524
1.92114,1,0.229652,2,3,0,-0.204054,1.31791,0.558067
2.68634,0.980119,0.229652,3,7,0,-0.626799,1.41788,0.441465
2.69763,0.98812,0.229652,2,3,0,-0.571238,1.41814,0.437138
1.62583,0.669892,0.229652,4,11,0,-0.629338,1.38841,0.610094
1.20202,0.862151,0.229652,2,3,0,-0.638253,1.38497,0.675248
-0.103855,0.891673,0.229652,3,7,0,-0.530027,1.29713,0.641996
-0.00418711,1,0.229652,1,1,0,-0.50657,1.29588,0.656347
0.52306,0.904447,0.229652,4,11,0,-0.424701,1.32165,0.761205
0.245113,0.983007,0.229652,4,15,0,-1.30604,1.51192,0.564258
0.620016,0.913717,0.229652,4,15,0,-0.811642,1.52803,0.481965
2.62484,0.992967,0.229652,4,11,0,-0.466886,1.40219,0.450509
1.07895,0.979821,0.229652,4,9,0,-1.16021,1.52735,0.572856
1.00172,0.976238,0.229652,4,15,0,-0.800019,1.46891,0.715057
2.49458,0.99621,0.229652,4,15,0,-0.266129,1.3593,0.347021
2.49458,0.0778603,0.229652,2,3,0,-0.266129,1.3593,0.347021
1.19674,0.447825,0.229652,4,15,0,-0.710934,1.42098,0.69575
1.48502,0.939306,0.229652,3,7,0,-0.851412,1.41539,0.499351
0.185418,0.903247,0.229652,2,3,0,-0.738586,1.52882,0.533206
1.42544,1,0.229652,2,3,0,-1.06453,1.48688,0.512758
0.899496,0.897651,0.229652,3,7,0,-1.02031,1.44499,0.565234
0.899496,0.491419,0.229652,2,3,0,-1.02031,1.44499,0.565234
1.30705,0.991982,0.229652,4,11,0,-0.453681,1.44247,0.570473
0.887189,0.958125,0.229652,4,15,0,-1.03915,1.45809,0.619736
-0.630695,0.741576,0.229652,4,15,0,-0.371968,1.48007,0.604089
0.275511,0.993105,0.229652,4,11,0,0.265446,1.29112,0.562005
0.41316,0.91589,0.229652,4,15,0,0.176197,1.22734,0.72683
-0.0162144,0.990981,0.229652,3,7,0,0.309449,1.17681,0.691425
1.68404,0.724502,0.229652,4,15,0,0.0340044,1.30314,0.452125
0.460028,0.809025,0.229652,4,11,0,-0.734582,1.36305,0.669568
1.37679,0.812105,0.229652,3,7,0,-0.494789,1.45306,0.519288
2.25843,0.995551,0.229652,4,11,0,-0.504956,1.42112,0.500366
1.84081,0.93276,0.229652,4,11,0,-0.119159,1.34052,0.357204
2.01349,1,0.229652,2,3,0,-0.143499,1.34198,0.356078
0.925684,0.632571,0.229652,4,15,0,-0.0457224,1.2687,0.331617
0.378176,0.814211,0.229652,2,3,0,0.0774126,1.26018,0.318287
1.3372,0.999192,0.229652,2,3,0,0.0706781,1.2667,0.377798
2.17914,0.638482,0.229652,3,7,0,-0.255209,1.37081,0.353922
1.36033,1,0.229652,4,11,0,-0.900131,1.5201,0.480338
2.25791,0.79437,0.229652,2,3,0,-0.821983,1.47416,0.406086
2.00785,0.892972,0.229652,3,7,0,-0.633784,1.46199,0.418507
1.51605,0.955371,0.229652,3,7,0,-0.861607,1.41886,0.486261
-1.0723,0.713951,0.229652,4,15,0,-1.09189,1.5823,1.0001
0.841562,0.982415,0.229652,4,15,0,-0.687409,1.38808,0.723277
1.49561,0.893992,0.229652,2,3,0,-0.59882,1.37248,0.613532
0.800301,0.990336,0.229652,3,7,0,-0.565049,1.36005,0.732098
0.328,0.942284,0.229652,4,15,0,-0.802672,1.53641,0.601758
0.46131,0.726087,0.229652,2,3,0,-1.12145,1.45833,0.585297
1.48143,0.987401,0.229652,4,15,0,-0.549302,1.37411,0.643933
0.25585,0.899031,0.229652,3,7,0,-0.880618,1.38646,0.625343
-0.0764342,0.882898,0.229652,1,1,0,-0.898249,1.3802,0.591841
0.597472,0.973509,0.229652,4,15,0,-0.453444,1.33765,0.771074
-0.819509,0.998365,0.229652,4,15,0,0.280407,1.23367,0.991962
-0.0731811,0.995012,0.229652,3,7,0,0.0855646,1.22613,0.828211
0.933289,0.981222,0.229652,4,9,0,-0.0386194,1.24575,0.601465
2.66782,0.977852,0.229652,4,15,0,-0.45833,1.40552,0.407509
2.10093,0.907682,0.229652,4,15,0,-0.494117,1.37099,0.287489
-1.04358,0.453096,0.229652,3,7,0,-0.859781,1.48296,0.235558
-0.033072,0.88473,0.229652,2,3,0,-0.824421,1.46197,0.241238
-0.890036,0.801258,0.229652,1,1,0,-0.881119,1.46712,0.234011
-0.0676196,0.3167,0.229652,2,3,0,-0.962624,1.47584,0.271439
0.125991,1,0.229652,1,1,0,-0.959747,1.48353,0.274167
0.592141,0.904588,0.229652,1,1,0,-0.849674,1.48836,0.282452
0.592141,0.0036606,0.229652,2,3,0,-0.849674,1.48836,0.282452
2.25025,1,0.229652,2,3,0,-0.748148,1.43026,0.325022
1.3892,0.854103,0.229652,3,7,0,-0.60747,1.45082,0.299309
1.53586,0.946196,0.229652,3,7,0,-0.771456,1.41104,0.333544
1.47907,0.626244,0.229652,2,3,0,-0.642522,1.38815,0.294473
2.07379,0.897458,0.229652,3,7,0,-0.700884,1.46746,0.376144
1.01332,0.711762,0.229652,4,15,0,-1.07235,1.46695,0.459041
0.851747,0.987497,0.229652,2,3,0,-1.0854,1.46497,0.464455
1.34062,1,0.229652,4,11,0,-0.220855,1.27823,0.465052
0.775074,0.947766,0.229652,2,3,0,-0.258113,1.27078,0.467238
-1.3828,0.773367,0.229652,2,3,0,-0.122554,1.42974,0.508603
1.26082,1,0.229652,2,3,0,-0.230465,1.39704,0.543997
1.2676,0.989036,0.229652,3,7,0,-0.183937,1.2754,0.56928
1.97349,0.974372,0.229652,4,15,0,-0.0336303,1.31123,0.435793
1.97349,0.645326,0.229652,2,3,0,-0.0336303,1.31123,0.435793
2.66321,0.827079,0.229652,4,11,0,-0.678384,1.43324,0.350101
2.66321,0.00318874,0.229652,1,1,0,-0.678384,1.43324,0.350101
2.77512,1,0.229652,3,7,0,-0.325345,1.3525,0.370205
2.41246,0.858229,0.229652,3,5,0,-0.30719,1.38095,0.38935
0.252557,0.986087,0.229652,4,15,0,-0.709547,1.3894,0.826686
-4.34925,0.807684,0.229652,4,11,0,-1.80047,1.45327,1.03975
-0.465594,0.960747,0.229652,3,7,0,-1.05443,1.53332,0.940567
-1.99764,0.910361,0.229652,3,7,0,-0.936943,1.62578,0.729558
-2.18584,0.969938,0.229652,2,3,0,-0.872914,1.61669,0.693504
0.193657,0.962229,0.229652,2,3,0,-1.17335,1.58059,0.693604
2.12899,0.984402,0.229652,4,15,0,-0.441496,1.42159,0.451704
1.55962,0.999394,0.229652,3,7,0,-0.952068,1.44831,0.484488
2.6415,0.958002,0.229652,4,11,0,-0.502064,1.41305,0.430004
1.92039,0.898434,0.229652,3,7,0,-0.328242,1.40349,0.439873
1.67394,1,0.229652,3,7,0,-0.228515,1.29189,0.399654
1.83518,1,0.229652,4,15,0,-0.709305,1.47389,0.368379
0.584372,0.506251,0.229652,2,3,0,-0.629012,1.49285,0.428051
1.76153,1,0.229652,1,1,0,-0.727594,1.48259,0.404869
1.56216,0.743664,0.229652,2,3,0,-0.934279,1.51568,0.454696
2.77191,0.931169,0.229652,3,7,0,-0.341762,1.36922,0.369264
2.47821,0.976222,0.229652,4,15,0,-0.387121,1.36621,0.494828
1.89371,0.886742,0.229652,2,3,0,-0.600934,1.36679,0.488651
1.06651,0.735302,0.229652,4,9,0,-0.365318,1.40455,0.290065
2.42142,1,0.229652,3,5,0,-0.485926,1.36662,0.320897
2.24613,0.897839,0.229652,1,1,0,-0.517594,1.36957,0.315293
2.61043,0.953079,0.229652,3,7,0,-0.579291,1.43025,0.366377
1.05906,0.45543,0.229652,1,1,0,-0.500789,1.45058,0.358756
1.8355,0.221729,0.229652,2,3,0,-0.974214,1.47726,0.474721
0.479339,0.701576,0.229652,4,15,0,-0.88625,1.5157,0.753095
0.0907562,0.94956,0.229652,4,11,0,-0.817913,1.37246,0.710374
0.113906,0.994718,0.229652,4,15,0,-1.15061,1.46243,0.702703
0.14771,0.991538,0.229652,1,1,0,-1.13164,1.45697,0.693486
1.79497,0.930633,0.229652,4,15,0,-0.783871,1.48836,0.394794
1.90357,1,0.229652,3,7,0,-0.82782,1.45964,0.553612
2.77894,0.999875,0.229652,3,7,0,-0.633636,1.41495,0.358155
0.970137,0.679193,0.229652,2,3,0,-0.781152,1.403,0.332082
1.77073,0.996434,0.229652,2,3,0,-0.677134,1.46467,0.336323
1.97546,0.800445,0.229652,3,5,0,-0.561018,1.37333,0.547056
1.98342,0.911478,0.229652,4,9,0,-0.393044,1.41382,0.382419
1.57774,0.980236,0.229652,3,5,0,-0.676924,1.38935,0.324295
0.907216,0.323896,0.229652,2,3,0,-0.447588,1.44501,0.374658
0.742835,0.971614,0.229652,2,3,0,-0.561355,1.34094,0.363026
1.06304,1,0.229652,2,3,0,-0.350832,1.42738,0.416429
1.79998,0.900377,0.229652,2,3,0,-0.406143,1.32582,0.382251
2.14667,0.945497,0.229652,3,7,0,-0.812595,1.43341,0.372383
1.87293,0.999499,0.229652,4,15,0,-0.925304,1.48675,0.511299
2.34996,0.868046,0.229652,4,11,0,-0.551244,1.43594,0.381476
2.1666,0.979617,0.229652,4,11,0,-0.345266,1.33572,0.517127
2.48935,0.565426,0.229652,3,7,0,-0.413361,1.3613,0.306931
2.74175,0.921648,0.229652,3,7,0,-0.508388,1.37864,0.344844
2.16786,0.732661,0.229652,1,1,0,-0.514339,1.35928,0.35129
